Dog_Name,Breed,Zip
RUAIRI,BEAGLE MIX,02421
RILEY,SPANIEL FIELD MIX,02421
ANGEL,RETRIEVER LABRADOR,02420
BUDDY,RETRIEVER LAB MIX,02421
RUBY,DOBEX,02421
RILEY,DOBEX,02421
PEPPA,SCHNOODLE,02421
COOPER,MIX,02421
BELLA,LAB/BORDER COLLIE,02421
BENTLEY,CORGI,02420
FLORA,COLLIE BORDER MIX,02421
HARPER,CAVAPOO,02421
PAPPY,RETRIEVER LABRADOR,02421
LILLY,MALTESE POODLE MIX,02421
VALPO,GOLDENDOODLE,02421
LEONARDO (LEO),LABRADOODLE,02421
CHLOE,TERRIER YORKSHIRE,02421
JUICE,BULLDOG OLD ENGLISH,02420
RIZZO,SCHNAUZER MIX,02420
JASPER,TERRIER WEST HIGHLAND,02420
MINA,MIX,02421
BELLA,SPANIEL COCKER MIX,02421
SADIE,SCHNAUZER MINI,02421
BEASLY,TERRIER,02421
GEORGIO,POMERANIAN,02421
DAISY,GOLDENDOODLE,02420
MAX,YORKIE POO,02421
OLIVER,TERRIER WEST HIGHLAND,02420
LUNA,RETRIEVER LABRADOR,02421
TEX,,02420
MOOSE,MALTIPOO,02421
FIRENZE,MIX,02421
VALENTINO,ITALIAN SPINONE,02421
GOLDIE,RETRIEVER GOLDEN,02421
SHIRLEY,RETRIEVER GOLDEN,02421
SUNNY,POODLE STANDARD,02421
TESS,GOLDENDOODLE,02420
CHLOE,MALTIPOO,02420
MAGGIE,LAB BLACK MIX,02420
COMET,POODLE TOY,02421
SPIKE,CHIHUAHUA,02421
COCOA,CHIHUAHUA,02421
BODHI,POODLE MINI,02420
LAYLA,LABRADOR MIX,02421
BOO,TERRIER YORKSHIRE,02421
ISABELLA,TERRIER WEST HIGHLAND,02421
BACI,LABRADOODLE,02420
MILO,PUG,02421
MAX,PUG,02421
AXL,PORTUGUESE WATER DOG,02420
BARNABY,HAVANESE,02420
BEAR,LABRADOODLE,02420
MELVIN,SHORKIE,02421
MOOKIE,WESTIE,02421
ALLIE,SHEEPDOG SHETLAND,02420
KENNY,SPANIEL CAVALIER  KING CHARLES,02420
JUNO,LABRADOODLE MINI,02421
OBIWAN,WEIMARANER,02421
MAISY,GOLDENDOODLE,02421
MAPLE SUGAR,GOLDENDOODLE,02420
OLIVER,TERRIER CAIRN,02420
JORDAN,,02421
LEXI,TERRIER YORKSHIRE,02420
LATTE,GOLDENDOODLE,02420
PHOEBE,PUG,02420
MILO,BOXER,02421
COOKIE,BOXER MIX,02421
MANI,WEIMARANER,02421
CHARLIE,SHEPHERD HUSKY,02420
MILO,SHEPHERD AUSTRALIAN MIX,02420
BOSCO,LABRADOODLE,02421
HOBBES,DACHSHUND,02421
LENNY,GOLDENDOODLE,02421
LULU,BERNADOODLE,02421
TOSHI,RHODESIAN RIDGEBACK,02420
MISSY,RETRIEVER LAB MIX,02421
COCO,LABRADOODLE,02421
ROSCOE,POMERANIAN,02421
BUDDY,CAVAPOO,02421
WOLFGANG,RETRIEVER GOLDEN,02420
TOBY,BICHON FRISE,02420
ZOE,MALTIPOO,02420
RUSSELL,LAB MIX,02421
JOEY,COCKAPOO,02421
NIMBUS,POMERANIAN MIX,02420
TOREE,SHIH-TZU,02421
COOKIE,POODLE,02420
NOEL,WHIPPET,02420
LIBERTY,PEKINGESE MIX,02420
CHEWEE,PEKINGESE,02420
CINDER,HAVANESE,02420
DAKOTA,HUSKY MIX,02421
LOLA,HAVANESE,02421
SARINA,DACHSHUND SPANIEL MIX,02420
NINJA,RETRIEVER LAB MIX,02420
KAYCEE,RETRIEVER GOLDEN,02420
LILA,DACHSHUND WIREHAIR,02420
PENNY,MIX,02421
CHARLIE,MIX,02420
ROXIE,GOLDENDOODLE,02421
CHAPPY,LABRADOR MIX,02420
MURPHY,RETRIEVER LAB MIX,02420
TEDDY,GOLDENDOODLE,02421
