Dog_Name,Breed,Zip
FIG NEWTON,TERRIER JACK RUSSELL,02420
MORGAN LEFAYE,MIX,02420
THEO,COCKAPOO,02420
GINGER,VIZSLA,02421
REGGIE THE WONDER DOG,RETRIEVER GOLDEN,02421
DUKE,BOXER MIX,02420
EDDIE,TERRIER YORKSHIRE,02420
CANDIE,YORKIE MIX,02420
VIOLET,TERRIER YORKSHIRE,02420
CADDIE,POODLE MIX,02420
CLIFFORD,LABRADOODLE,02421
VESPA,LABRADOR MIX,02420
SCUTO,LABRADOR MIX,02420
ZOEY,DACHSHUND MIX,02420
SNOWY,,02420
JOEY,CHIHUAHUA MIX,02420
ROXY,LABRADOR MIX,02421
BEAR,RETRIEVER LABRADOR,02420
DEE 2,TERRIER WEST HIGHLAND,02421
BRADY,HAVANESE,02421
KAI,COCKAPOO,02420
SAGO,SCHNOODLE,02420
LUNA,LAB MIX,02421
TEDDY,CATAHOULA MIX,02420
BELLI,MIX,02421
FIONA,PUG,02420
LOUIE,COCKAPOO,02421
MR BEAR,CHIHUAHUA,02420
STAR,BOXER MIX,02421
JOEY,SHETLAND SHEEP,02421
DAKOTA,HUSKY,02421
LEXXI,DACHSHUND MIX,02421
CODY,LABRADOODLE,02421
CARMEL,GREAT PYRENEES MIX,02420
BRONZINO,POODLE STANDARD,02420
LULU,PORTUGUESE WATER DOG,02421
INDY,PORTUGUESE WATER DOG,02421
TESSIE,COCKAPOO,02420
SCAMP,LABRADOODLE MIX,02420
CHOUNG CHOUNG,PEKINGESE,02420
DA DA,PEKINGESE,02420
PEDRO,SCHNAUZER MINI,02421
AMY,RETRIEVER LABRADOR,02420
MAX,POMERANIAN MIX,02421
BELLE,TERRIER CAIRN,02421
BAXTER,SPANIEL CAVALIER  KING CHARLES,02421
TOBY II,SPANIEL COCKER,02421
SCOUT,RETRIEVER LABRADOR,02420
KASPER,BICHON FRISE,02421
MARIAH,PUGGLE,02420
JACK,RETRIEVER GOLDEN,02420
SQUEAKY,BEAGLE MIX,02421
ASHLEY,COONHOUND BLUE TICK,02421
MAISIE,COONHOUND BLUE TICK,02421
KUMA,LABRADOR,02420
COSMO,AUSTRALIAN LABRADOODLE,02421
OSCAR,LABRADOODLE,02421
BELLA,TERRIER TIBETAN,02420
COSMO,POINTER GERMAN SHORTHAIR,02421
LIBBY,GOLDENDOODLE,02420
VIVI,COTON DE TULEAR,02421
CLADDAGH,RETRIEVER LABRADOR,02421
BO,LABRADOR MIX,02421
MACY,MIX,02421
RUFUS,SHEPHERD MIX,02421
MAHO,GOLDENDOODLE,02420
TUCKER,TERRIER TIBETAN,02421
JASPER,,02421
BRADY,COTON DE TULEAR,02420
BEAU,RETRIEVER GOLDEN,02421
LEXI,COCKAPOO,02421
MAYA,RETRIEVER GOLDEN,02421
MOLLY,LABRADOODLE,02420
LUCCA,SETTER ENGLISH,02421
GUS,RETRIEVER LABRADOR,02421
HANK,RETRIEVER LABRADOR,02421
CUPCAKE,CAVACHON,02420
MICCO,CHINOOK,02420
KODA,RETRIEVER GOLDEN,02420
SULLIVAN,YORKIE POO,02421
EVA,SPANIEL COCKER MIX,02420
HAPPY,BEAGLE,02421
GAVIN,RETRIEVER GOLDEN,02420
DES,TERRIER AMERICAN STAFFORSHIRE MIX,02421
KAYA,LABRADOR MIX,02420
MILO,BICHON FRISE,02421
LACY,RETRIEVER MIX,02420
HENRY,RETRIEVER LABRADOR,02421
DAKOTA,RETRIEVER LABRADOR,02421
CHEWIE,SHIH-TZU,02421
STELLA,BEAGLE,02420
ONYX,LAB/HOUND MIX,02421
SAM,BOXER,02421
TARA,RETRIEVER LAB MIX,02420
BERTRAM,POODLE STANDARD,02421
TUCKER,CAVAPOO,02420
PEPPER,LABRADOR MIX,02420
SCOUT,COLLIE BORDER,02421
CILLY,BICHON FRISE,02420
FLORA,CORGI PEMBROKE WELSH,02420
BAILEY,LABRADOODLE,02421
CODY,RETRIEVER LABRADOR,02420
STORMIE,MIX,02420
ZIGGY,POODLE STANDARD,02420
LADY,PIT BULL MIX,02420
KOA,LABRADOODLE,02421
CHOCOLATE,SPANIEL CAVALIER  KING CHARLES,02421
MAX,TERRIER BRAZILIAN,02420
PRINCE,TERRIER WEST HIGHLAND,02421
JADE,CATAHOULA MIX,02420
PAXTON,CATAHOULA MIX,02420
MARTA,WATERDOG SPANISH,02421
SAGE,AUSTRALIAN COBBERDOG,02420
LUCY,LABRADOODLE,02421
SANDY,RETRIEVER GOLDEN,02420
SHIWA,COCKAPOO,02421
HAZEL,RETRIEVER GOLDEN,02420
SADIE,HOUND MIX,02421
PERCY,MALTESE,02420
NIKKI,MIX,02421
HERO,CHIHUAHUA LONG COAT,02421
VINNIE,LABRADOODLE,02420
TESSA,BEAGLE,02420
COPPER,BEAGLE,02420
BANDIT,COLLIE MIX,02420
JINXY,PUG,02420
BLUE,RETRIEVER GOLDEN,02421
MUZZY,LABRADOODLE,02421
JUNO,RETRIEVER LAB MIX,02420
GATSBY,WHIPPET,02421
BLU,COCKAPOO,02420
FINLEY,LABRADOODLE,02421
BELLA,SHIH-TZU MIX,02420
BAILEY,MALTIPOO,02421
GIGI,DACHSHUND L.H.,02420
BARLEY,DACHSHUND,02420
CHOCHI,RETRIEVER GOLDEN,02420
WAI WAI,SHIH-TZU,02421
TOTO,POODLE TOY,02420
SCOUT,COCKAPOO,02420
PEPPER,NEWFOUNDLAND,02420
KIWI,NEWFOUNDLAND,02420
TUPAC,COLLIE BORDER,02421
ENZO,TERRIER SCOTTISH,02421
HASHBROWN,POODLE MINI,02421
TIKI,PUGGLE,02420
COOKIE,MALTESE,02421
SAM,LABRADOR SHEPHERD MIX,02420
KOJI,LABRADOODLE,02421
ROCKY,TERRIER BOSTON,02421
LAILA,PAPILLON,02421
MAYA,PAPILLON,02421
OPHELIA,PUG,02421
KENNEDY,PUGGLE MIX,02421
AMBER,GOLDENDOODLE,02420
MOLLY,COCKAPOO,02420
MADDIE,SATO,02420
QUINCY,CHIHUAHUA MIX,02420
PIPPIN,POODLE MINI,02420
MERRY,POODLE MINI,02420
PICKLE,TERRIER MIX,02421
BLUE,MIX,02420
RODDICK,MIX,02420
ELVIS,RETRIEVER GOLDEN,02420
PIPER,LABRADOODLE,02421
MONROE,MIX,02421
ROO,LAB/HOUND,02421
ELLIE MAE,BOXER MIX,02421
BRUNO,AUSTRALIAN LABRADOODLE,02420
GUS,LABRADOR,02421
KOTA,POINTER MIX,02420
JUNO,POINTER MIX,02420
JOEY,LABRADOR MIX,02420
RYLIE,RETRIEVER LABRADOR,02421
NOVA,LAB MIX,02420
MARGOT,TERRIER JACK RUSSELL,02421
MAGGIE,TERRIER MIX,02420
WILLIE,TERRIER SILKY,02420
TASHA,HUSKY SIBERIAN,02421
BUDDY,SPANIEL CAVALIER  KING CHARLES,02420
MILO,COLLIE BORDER MIX,02421
RILEY,RETRIEVER LABRADOR,02420
PIPER,CHIHUAHUA MIX,02421
SPEEDY,CHIHUAHUA,02420
JACKSON,RETRIEVER LABRADOR,02420
MAYA,PUGGLE,02421
MARLEY,TERRIER YORKSHIRE,02421
REX,TERRIER YORKSHIRE,02421
SADIE,BERNESE MOUNTAIN,02421
RUSTY,SPANIEL COCKER MIX,02421
CALVIN,RETRIEVER GOLDEN,02421
EDDIE,SPANIEL CAVALIER  KING CHARLES,02420
CHARLESTON,SPANIEL CAVALIER  KING CHARLES,02420
WALKER,MIX,02420
BOONE,NEWFOUNDLAND,02421
SHADOW,LAB RETRIEVER MIX,02421
MACY JO,RETRIEVER LABRADOR,02421
MARIN,TERRIER AIREDALE,02421
BODE,LABRADOODLE,02421
WINNIE,HAVANESE,02420
BETSY,SHEEPDOG ICELANDIC,02420
SCOUT,SHEEPDOG,02420
ROY,SHEEPDOG,02420
BROOKE,,02420
PANDA,,02420
STELLA,TERRIER TIBETAN,02421
RUBY,TERRIER TIBETAN,02421
IZZY,RETRIEVER LABRADOR,02420
GRETTA,SHEPHERD GERMAN,02420
SKYE,COLLIE BORDER MIX,02421
OSCAR,RETRIEVER GOLDEN,02421
MIA,RETRIEVER LAB MIX,02421
BUCKY,COCKAPOO,02421
DAISY,WHOODLE,02421
STELLA,CORGI SHETLAND MIX,02420
DAISY,LABRADOODLE,02421
BEATRICE,LABRADOODLE,02421
SCOUT,WELSH CORGI PEMBROKE,02421
CASEY,SPANIEL,02421
BECKETT,RETRIEVER GOLDEN,02420
ATLAS,BOXER MIX,02421
STANLEY,POODLE MINI,02420
BINGO,TERRIER MIX,02420
MOSHI,TERRIER WELSH,02420
BROOKLN,TERRIER PIT BULL,02420
CLEO,COCKAPOO,02421
CHARKIE,TERRIER SOFT WHEATEN,02420
KOBEE,COLLIE MIX,02421
RORY,TERRIER WELSH,02420
BREWSTER,GOLDENDOODLE,02420
CARLEY,COLLIE BORDER MIX,02420
MULLIGAN,RETRIEVER LABRADOR,02421
MAGOO,RETRIEVER LABRADOR,02421
NOVA,MALTIPOO,02421
INDY,BEAGLE MIX,02421
ECHO,LABRADOODLE,02420
DYLAN,SHEPHERD AUSTRALIAN MIX,02421
ZIGGY,SHEPHERD AUSTRALIAN MIX,02421
NALA,SHEPHERD GERMAN,02420
WILBUR,LAB MIX,02420
MAX,TERRIER YORKSHIRE,02420
KITTU,PUGGLE,02420
MOOKIIE,SHEPHERD AUSTRALIAN MIX,02420
IZZIE,SHEPHERD AUSTRALIAN MIX,02420
MARLEY,LAB RETRIEVER MIX,02421
OLLIE,GOLDENDOODLE,02420
TUCKER,BEAGLE MIX,02420
CARLOS,TERRIER BOSTON,02420
RUBY,AUSTRALIAN LABRADOODLE,02421
BELLA,SCHNAUZER MINI,02420
NISHA,RETRIEVER LABRADOR,02421
TUCKER,SPANIEL MIX,02421
PEPPER,RETRIEVER LABRADOR,02420
CANDY,SHIH-TZU,02420
CHASE,AUSTRALIAN LABRADOODLE,02420
CLYDE,RETRIEVER LAB MIX,02421
BERNIE,SHEPHERD BOXER MIX,02420
MAISIE,TERRIER WEST HIGHLAND,02420
PIXEL,TERRIER MIX,02421
TUCKER,RETRIEVER MIX,02420
GRETEL,DACHSHUND L.H. MINI,02420
ANNIE,SATO,02421
CALLIE,CATTLE DOG AUSTRALIAN,02420
PENNY,RETRIEVER LABRADOR,02420
LUNA,BOXER MIX,02421
ANGEL,MINITUARE PINSCHER,02421
MAGGIE,SHEPHERD GERMAN,02420
RUBY,RETRIEVER LABRADOR,02421
JOEY,SPANIEL SPRINGER,02421
MARLEY,RETRIEVER GOLDEN MIX,02420
MOXIE,SAMOYED,02421
BODHI,RETRIEVER GOLDEN,02421
LOLA,GOLDENDOODLE,02420
OBI,SPANIEL CAVALIER  KING CHARLES,02421
MILO,BERNESE MOUNTAIN,02420
OSO,BERNESE MOUNTAIN,02420
BUDDY,BEAGLE MIX,02420
IOLO DDU,BRIARD,02420
ROOKIE,MIX,02421
OLLIE,SPANIEL CAVALIER  KING CHARLES,02420
ZEUS,SPANIEL CAVALIER  KING CHARLES,02421
MAXINE,TERRIER MIX,02421
RUFUS,LABRADOR MIX,02420
LORA,LAB RETRIEVER MIX,02420
WELLINGTON,SPANIEL SPRINGER,02420
PHOEBE,MIXED MUTT,02421
NIKO,TERRIER YORKSHIRE,02421
OLIVER,LABRADOODLE,02421
BESSIE,SHIH-TZU,02421
ZEUS,COCKAPOO,02420
GUS,RETRIEVER LABRADOR,02421
FENWAY,COCKAPOO,02420
RANGER,DACHSHUND MIX,02421
BAXTER,POODLE MIX,02420
FREDERICK,SPANIEL CAVALIER  KING CHARLES,02420
LUNA,WEIMARANER,02421
BAILEY,RETRIEVER GOLDEN,02420
MARGOT,GOLDENDOODLE,02420
GINGER,GOLDENDOODLE,02420
MACEY,RETRIEVER GOLDEN,02420
STELLA,COTON DE TULEAR,02420
AJAX,SHEPHERD MIX,02421
ANNIE,HAVANESE,02420
GEORGIA,LABRADOR MIX,02420
TULIP,BEAGLE,02420
LUCY,COCKAPOO,02420
BUDDY,LABRADOODLE,02421
EMMA,TERRIER BOSTON,02421
BAILEY,BEAGLE,02421
LAYLA,POODLE TOY,02421
DAISY,COCKAPOO,02420
CARL,HAVANESE,02420
TECO,DACHSHUND,02421
COOPER,SHEPHERD MIX,02420
MAGGIE,SPANIEL BRITTANY MIX,02421
ROSIE,RETRIEVER GOLDEN,02421
LULA,COCKAPOO,02421
RAFFERTY,COCKAPOO,02420
HALEY,BICHON FRISE,02421
TOBY,SPANIEL COCKER,02420
CHARLIE,TERRIER WHEATEN,02420
LOUIS,SCHNAUZER MINI,02420
MIO,NORWEIGAN ELKHOUND,02421
MOMO,NORWEIGAN ELKHOUND,02421
HUNTER,RETRIEVER GOLDEN,02420
ROOTIE,COCKAPOO,02420
NELLIE,COCKAPOO,02420
TUCKER,RETRIEVER GOLDEN,02421
KAJSA,BOXER MIX,02420
BO,POMERANIAN,02420
LULU,RETRIEVER MIX,02421
CHLOE,MIX,02421
JASPER,MUSTERLANDER SMALL,02420
TESS,MUSTERLANDER SMALL,02420
FRANKIE,TERRIER,02420
COOKIE,PUGGLE,02421
LUCY,TERRIER AMSTAFF,02421
TRIXIE,BICHON FRISE,02421
COOPER,BULLDOG FRENCH,02420
COOKIE,POODLE,02421
ROBIE D,SPANIEL BRITTANY MIX,02420
LUNA,LABRADOR BLACK MIX,02420
MOCHA,LABRADOODLE,02420
GRACE O'MALLEY,RETRIEVER GOLDEN,02420
ROZZIE,LABRADOODLE,02421
KHALEESI,SHARPEI,02420
OLIVE,TERRIER YORKSHIRE,02421
AUTUMN,SPANIEL MIX,02420
MAYA,RETRIEVER LABRADOR,02421
CHESTER,SPANIEL COCKER MIX,02421
EVIE,COLLIE BORDER,02421
BAXTER,SCHNAUZER MINI,02420
WATSON,GOLDENDOODLE,02420
CASEY,RETRIEVER GOLDEN,02421
TASHMOO,GOLDENDOODLE,02421
BUDDY,SHEPHERD GERMAN,02420
RUSTY,SHEPHERD GERMAN,02420
SOPHIE,TERRIER YORKSHIRE,02420
MAGGIE,LABRADOR MIX,02421
CODY,SPANIEL COCKER MIX,02421
GINGER,SPANIEL COCKER MIX,02421
KODA,LABRADOR,02420
FRANKIE,TERRIER BOSTON,02421
TUUKKA,SPANIEL CAVALIER  KING CHARLES,02420
ANNIE,SHIH-TZU,02421
LILY,SHEPHERD GERMAN,02420
ELLE,HOUND MIX,02420
LILY,LABRADOODLE,02420
PRINCE,SPANIEL CAVALIER  KING CHARLES,02421
DELILAH,LABRADOR POODLE MIX,02421
JEB,TERRIER BOSTON,02421
RAEPHY,LABRADOODLE,02420
SCOUT,RETRIEVER GOLDEN,02421
DAKOTA,AMERICAN ESKIMO,02421
COPPER,BOXER,02420
ARCHIE,RETRIEVER MIX,02421
BRACKEN,LABRADOODLE,02420
MUGGSY,PUG,02421
MAXI,COTON DE TULEAR,02421
EEVEE,BICHON FRISE,02420
BABY,CHOW MIX,02420
DEXTER,MIX,02420
MADDIE,MALTESE,02420
CHARLIE,MALTESE,02420
KATIE,COCKAPOO,02421
BROWNIE,SHIH-TZU POODLE MIX,02420
EVA,MIX,02420
MOKA,MIX,02421
MICAH,POODLE STANDARD,02420
JETHRO,COCKAPOO,02420
ZARA,BOXER MIX,02420
CALI,LABRADOR MIX,02421
LEXIE,RETRIEVER GOLDEN,02420
BARKLEY,RETRIEVER LABRADOR,02420
PINKMAN,GREYHOUND,02420
PRINCESS,MALTESE,02421
OLIVER,PAPILLON,02421
BAILEY,RETRIEVER GOLDEN,02420
DOLSA,BERNESE MOUNTAIN,02420
DAISY MAE,BOXER MIX,02420
ANGEL,RETRIEVER LABRADOR,02421
ARCHER,LABRADOODLE,02421
MELANIE,CATTLE DOG AUSTRALIAN,02421
LEO,MIX,02421
JULES,COCKAPOO,02420
IZZY,SCHNAUZER MINI,02421
TOOTIE,BULLDOG ENGLISH,02420
BARNABY,POODLE MIX,02420
ALI BABA,SHIH-TZU,02420
PEPPER,SCHNAUZER MINI,02421
BUNNY,RETRIEVER LAB MIX,02420
BRADY,GOLDENDOODLE,02421
SARGE,SHEPHERD GERMAN,02421
BENTLEY,BEAGLE MIX,02421
BOWIE,LAGOTTO ROMAGNOLO,02421
PHOEBE,RETRIEVER LAB MIX,02421
SOPHIE,BICHON FRISE,02420
YOKO,AKITA,02421
PIPPA,SPANIEL COCKER MIX,02421
ZEKE,RETRIEVER GOLDEN,02421
MURPHY,GOLDENDOODLE,02421
SUMMER,GOLDENDOODLE,02421
ZADIE,POODLE STANDARD,02421
PENNY,CAVACHON,02421
NALA,RETRIEVER GOLDEN MIX,02420
ROY,CORGI MIX,02421
LUCIE,SHIH-TZU,02421
CHLOE,RETRIEVER LABRADOR,02420
JACK,HUSKY MIX,02420
WILEY,CHIHUAHUA MIX,02421
MOJAVE,CHIHUAHUA MIX,02421
PEPPER MCBEE,LABRADOODLE,02420
GEORGE,LABRADOODLE,02420
NINA,MALTESE,02421
ANNIE,GOLDENDOODLE,02421
OLLIE,DACHSHUND,02421
LYRA,BEAGLE MIX,02421
BOOTS,SHEPHERD GERMAN MIX,02421
DIESEL,RETRIEVER LABRADOR,02421
DUKE,CHIHUAHUA,02421
ELLA,LABRADOR MIX,02421
LEO,SPANIEL COCKER MIX,02420
COCO,GOLDENDOODLE,02420
GEORGIA,MIX,02420
ROSIE,RETRIEVER GOLDEN,02420
JAZMINE,POODLE STANDARD,02420
BUDDY,GOLDENDOODLE,02421
LOLA,SCHNAUZER MINI,02420
TESSIE,SCHNAUZER MINI,02420
SPENCER,RETRIEVER LABRADOR,02421
BAILEY,RETRIEVER LABRADOR,02421
KENYA,HUSKY MIX,02420
MAX,MIX,02420
PRESTON,SHIH-TZU,02420
ZEUS,SHIH-TZU MALTESE MIX,02420
BUSTER,GOLDENDOODLE,02421
MEMPHIS,SHEPHERD GERMAN,02420
RUBY,GOLDENDOODLE,02421
AVIVA,BERNESE MOUNTAIN,02421
RYLEE,RETRIEVER LABRADOR,02421
FYN,RETRIEVER GOLDEN,02421
RUSTY,VIZSLA,02420
BENJI,RETRIEVER MIX,02421
RUBY,MIX,02420
CHARLIE,LABRADOODLE,02420
CHRYSTA,GOLDENDOODLE,02421
TEDDY,SPANIEL COCKER MIX,02421
LUCY,BEAGLE,02421
DARWIN,BEAGLE MIX,02421
CALVIN,BOXER,02420
BELLA,LABRADOODLE,02420
BELLA,LAB/HOUND MIX,02421
SAMPSON,SETTER ENGLISH,02421
LEXIS,LABRADOR,02420
LOGAN,LABRADOODLE,02420
LUCITA,DACHSHUND,02421
WAYLON,BEAGLE,02420
BRADY,POODLE MIX,02420
PEPPER,TERRIER BORDER MIX,02420
EVIE,BICHON SHIZU MIX,02420
BRUNO,SHIH-TZU MIX,02420
FINLEY,LABRADOODLE MIX,02420
MAC,TERRIER MIX,02421
MICKEY,HAVANESE,02421
CODY,RETRIEVER LABRADOR,02420
NICKI,TERRIER WEST HIGHLAND,02420
CASSIE,DOUBLE DOODLE,02421
OSCAR,DACHSHUND L.H.,02421
JACKSON,RETRIEVER GOLDEN,02421
CHARLIE,RETRIEVER GOLDEN,02421
KALA,RETRIEVER GOLDEN,02421
MAC,BULLDOG FRENCH,02421
OLLIE,POODLE CHINESE CRESTED MIX,02420
DUNCAN,SHEPHERD MIX,02420
LILY,TERRIER JACK RUSSELL MIX,02421
TRIXIE,MASTIFF MIX,02420
PURPLE,PIT BULL,02420
CAMILLA,PINSCHER MINI,02421
LYLA,LABRADOR MIX,02420
OGDEN,RETRIEVER LABRADOR,02420
GUS,RETRIEVER GOLDEN,02420
LUNA,SHEPHERD GERMAN MIX,02421
PENNY,PEKAPOO,02421
INDIE,RETRIEVER LABRADOR,02421
OLIVER,LABRADOODLE,02421
NOGGIN,LABRADOODLE,02420
ROXY,SHEPHERD MIX,02420
LOKI,GREAT PYRENEES MIX,02420
MISHKA,RETRIEVER LABRADOR,02420
GORBY,SHEPHERD AUSTRALIAN MIX,02421
BELLA,LABRADOR MIX,02421
PIXEL,RETRIEVER LABRADOR,02421
CALYPSO,RETRIEVER LABRADOR,02421
"MADDISON ""MADDY"" RUBIN",MALTESE,02421
WHISPER,COLLIE BORDER,02420
CRAIG,LABRADOR,02420
ATTICUS,PUGGLE,02421
TRUMAN,SHELTIE,02421
REBEL,SETTER ENGLISH,02420
BLAKE,TERRIER SOFT COATED,02420
ROSIE,SHEPHERD MIX,02421
BEA,TERRIER BOSTON,02420
SHADOW,LAB MIX,02421
FERRIS,BEAGLE MIX,02420
ESME,MIX,02421
DENNY,SCHNOODLE,02421
DESI,HAVANESE,02420
CHIP,TERRIER YORKSHIRE,02421
KENZIE,LABRADOODLE,02421
GIO,RETRIEVER LABRADOR,02420
SIMBA,HAVANESE,02421
ZIGGY,,02421
PIPPIN,POODLE,02420
BEN,POODLE TOY,02420
HARRIET,POODLE STANDARD,02421
PYJAMA,POODLE MIX,02420
LEXINGTON,COTON DE TULEAR,02421
SHADOW,SPANIEL COCKER MIX,02420
OLIVER,COCKAPOO,02420
MAX,MIX,02420
COCO,HAVANESE,02421
ROCKY,PAPILLON,02420
BRADY,RETRIEVER LABRADOR,02420
BAILEY,BEAGLE MIX,02420
PIPPA,LABRADOODLE,02421
SEAMUS,LABRADOODLE,02421
SNOWY,LAB/GREAT PYRENEES MIX,02420
NOODLES,PUG,02421
BEAU,POODLE TOY,02421
ZUZU,LABRADOODLE,02421
WILLIE,CHIHUAHUA,02421
MICRO,HAVANESE,02421
LUCY,WELSH CORGI PEMBROKE,02421
GUS,SPANIEL COCKER MIX,02420
MISHA,POODLE STANDARD,02421
ACE,POINTER MIX,02420
NELLIE,HOUND MIX,02421
GINNY,SPANIEL MIX,02421
COCO,SCHNOODLE,02420
CHARLEY,PUGGLE,02421
ASHER,BOXER MIX,02421
LUNA,RETRIEVER LABRADOR,02420
NELLIE,CHIHUAHUA,02420
BELLA,BICHON FRISE,02420
AZA,TERRIER TIBETAN,02420
CHAPLIN,LABRADOODLE,02421
BAILEY,BEAGLE MIX,02420
MAGGIE,COTON DE TULEAR,02421
ENZO,VIZSLA,02420
DAISY,LAB/SHEP MIX,02421
MOLLY,COCKAPOO,02421
RIVET,HUSKY SIBERIAN,02421
TROUBLE,SHIBA INU,02421
SCRAPPY,TERRIER MIX,02420
AUGGIE,LABRADOODLE,02420
PEPPER,LABRADOR MIX,02420
NICCO,MIX,02421
YODA,PINSCHER MINI MIX,02420
WALTER,BICHON SHIZU MIX,02421
MAZEL,TERRIER SOFT WHEATEN,02421
WINNIE,PUG,02420
SADIE,LABRADOR MIX,02421
NUGGET,LABRADOODLE,02420
BRADY,TERRIER YORKSHIRE,02420
RUDY,LABRADOR MIX,02420
KIPPER,BEAGLE MIX,02421
LUCY,POINTER GERMAN SHORTHAIR,02420
MAPLE,COCKAPOO,02420
APRIL,HAVANESE,02420
CODY,TERRIER WELSH,02421
MILO,SHEPHERD LAB MIX,02421
MOLLY,LABRADOODLE,02421
DOMINO,HAVANESE,02421
FINN,SPANIEL BRITTANY MIX,02421
LUNA,,02421
SOX,CATTLE DOG,02420
BILLU,COCKAPOO,02421
IVY MENON,RETRIEVER LABRADOR,02421
CORY,BICHON FRISE,02420
FIFI,SHEEPDOG,02420
MIKA,TERRIER WHEATEN,02420
LUCY,TERRIER JACK RUSSELL MIX,02421
LIAM,TERRIER JACK RUSSELL MIX,02421
CARL,MIX,02421
BIANCO,MIX,02420
MOLLY MAE,MIX,02421
BEAU,RETRIEVER GOLDEN,02420
STELLA,BULLDOG FRENCH,02421
STELLA,COLLIE BORDER MIX,02420
HOUSTON,BOXER,02420
APPA,SHEEPDOG ICELANDIC,02420
TJULLA,SHEEPDOG ICELANDIC,02420
CHARLIE,LABRADOODLE,02421
OREO,LABRADOODLE,02421
KAYLEE,POINTER GERMAN SHORTHAIR,02421
LEELA,POODLE,02420
LUCY,TERRIER MIX,02420
LILY,POMERANIAN,02420
MAIA,POINTER MIX,02421
REINA,HOUND MIX,02420
MIKO,MIX,02420
AUSTIN,RETRIEVER LABRADOR,02421
CHARLIE,SHEPHERD AUSTRALIAN,02421
SAM,BICHON FRISE MIX,02421
HUDSON,SPANIEL BRITTANY MIX,02421
MISSY,SHEPHERD AUSTRALIAN MIX,02421
JACKSON,RETRIEVER GOLDEN MIX,02421
SUME,RETRIEVER LABRADOR,02420
BAXTER,TERRIER CAIRN,02421
BENJI,POM/CHI,02420
GEORGIE,RETRIEVER GOLDEN,02420
SKYLAR,YORKIE POO,02420
BAXTER,TERRIER BOSTON,02421
BUBBY,CHIHUAHUA MIX,02420
GOLDIE,RETRIEVER GOLDEN,02421
CYAN,TERRIER TIBETAN,02421
CJ,CATTLE DOG AUSTRALIAN,02420
SCOUT,LABRADOR,02420
IZZY,RETRIEVER LABRADOR,02421
ROSCOE,TERRIER WEST HIGHLAND,02420
BAUER,HAVANESE,02420
BELLA,HAVANESE,02420
HEIDI,LABRADOR MIX,02421
MOOSE,TERRIER BOSTON,02421
SCARLET,RETRIEVER LABRADOR,02421
KYRA,RETRIEVER GOLDEN,02421
MADDUX,RETRIEVER GOLDEN,02420
MILO,LABRADOR,02421
MUFFIN,SHIH-TZU,02420
MAGGIE MAE,BEAGLE,02420
ORLA,RETRIEVER MIX,02421
YAWNY,SHEEPDOG AUSTRALIAN MINI,02420
MOOKIE,RETRIEVER LABRADOR,02420
PATACHON,DACHSHUND,02421
PAPI,MIX,02420
LILY,RETRIEVER GOLDEN,02421
SPARKY,CORGI PEMBROKE WELSH,02421
MAYPO,SHIBA INU,02421
THEODORA II,SHELTIE,02421
CLEMENTINE,SHELTIE,02420
CODY,SHELTIE,02420
MILO,SPANIEL CAVALIER  KING CHARLES,02420
LOGAN,KOOIKERHONDJE,02421
ANDY,DACHSHUND,02420
OSCAR,SPANIEL CAVALIER  KING CHARLES,02420
GINGER,COCKAPOO,02421
CHERIE,TERRIER BORDER,02420
MISO,GOLDENDOODLE,02421
GINGER,TERRIER SOFT WHEATEN,02421
WHISKEY,TERRIER SOFT WHEATEN,02421
RAVEN,SPANIEL CAVALIER  KING CHARLES,02421
NENA,LABRADOR MIX,02420
TUCKER,SPANIEL BRITTANY MIX,02421
JINX,MIX,02421
FOLLY,RETRIEVER GOLDEN,02421
LEXI,GOLDENDOODLE,02421
CARLY,TERRIER YORKSHIRE,02421
MAX,TERRIER YORKSHIRE,02421
RHEA,SPANIEL BRITTANY MIX,02421
TUCKER,RETRIEVER LABRADOR,02420
WILLKIE,MALTESE,02421
CHILI,BEAGLE MIX,02421
COCO,HOUND MIX,02421
LEO,SHEPHERD AUSTRALIAN MIX,02421
CHARLIE,RETRIEVER LAB MIX,02420
LUCA,RETRIEVER LAB MIX,02421
HEIDI,BERNESE MOUNTAIN,02420
BELLA,LABRADOR,02420
OCEAN,LAB/HUSKY,02421
DAISY,LABRADOR,02420
GORGI,MALTESE MIX,02420
BELLA,TERRIER YORKSHIRE,02421
SADIE MAE PUMPKIN,MORKIE,02420
ROSIE,RETRIEVER LABRADOR,02421
MADDIE,COCKAPOO,02421
RUSTY,POMERANIAN,02420
ROCKY,MIX,02421
LAITI,MIX,02421
BALOO,PUGGLE,02420
NEO-LATTE,BEAGLE MIX,02420
CIDER,MIX,02420
TUCK,RETRIEVER MIX,02420
ROMEO,GOLDENDOODLE,02420
NIKKI,COLLIE  ROUGH COAT,02421
CODA,MIX,02421
ZERMATT,SPANIEL COCKER MIX,02421
LUCY,MIX,02421
DARLA,BEAGLE MIX,02420
KITA,HUSKY,02421
RUFUS,SHEPHERD ANATOLIAN  MIX,02421
COOPER,BEAGLE MIX,02421
WINSTON,BULLDOG FRENCH,02421
COCO,CHIHUAHUA MIX,02420
PIPER,MIX,02420
BAILEY,HUSKY MIX,02421
NDITO,MIXED BREED/COLLIE,02420
STORM,SHEPHERD AUSTRALIAN,02421
