Dog_Name,Breed
CHOCHI,RETRIEVER GOLDEN
WAI WAI,SHIH-TZU
TOTO,POODLE TOY
SCOUT,COCKAPOO
PEPPER,NEWFOUNDLAND
KIWI,NEWFOUNDLAND
TUPAC,COLLIE BORDER
ENZO,TERRIER SCOTTISH
HASHBROWN,POODLE MINI
TIKI,PUGGLE
COOKIE,MALTESE
SAM,LABRADOR SHEPHERD MIX
KOJI,LABRADOODLE
ROCKY,TERRIER BOSTON
LAILA,PAPILLON
MAYA,PAPILLON
OPHELIA,PUG
KENNEDY,PUGGLE MIX
AMBER,GOLDENDOODLE
MOLLY,COCKAPOO
MADDIE,SATO
QUINCY,CHIHUAHUA MIX
PIPPIN,POODLE MINI
MERRY,POODLE MINI
PICKLE,TERRIER MIX
BLUE,MIX
RODDICK,MIX
ELVIS,RETRIEVER GOLDEN
PIPER,LABRADOODLE
MONROE,MIX
ROO,LAB/HOUND
ELLIE MAE,BOXER MIX
BRUNO,AUSTRALIAN LABRADOODLE
GUS,LABRADOR
KOTA,POINTER MIX
JUNO,POINTER MIX
JOEY,LABRADOR MIX
RYLIE,RETRIEVER LABRADOR
NOVA,LAB MIX
MARGOT,TERRIER JACK RUSSELL
MAGGIE,TERRIER MIX
WILLIE,TERRIER SILKY
TASHA,HUSKY SIBERIAN
BUDDY,SPANIEL CAVALIER  KING CHARLES
MILO,COLLIE BORDER MIX
RILEY,RETRIEVER LABRADOR
PIPER,CHIHUAHUA MIX
SPEEDY,CHIHUAHUA
JACKSON,RETRIEVER LABRADOR
MAYA,PUGGLE
MARLEY,TERRIER YORKSHIRE
REX,TERRIER YORKSHIRE
SADIE,BERNESE MOUNTAIN
RUSTY,SPANIEL COCKER MIX
CALVIN,RETRIEVER GOLDEN
EDDIE,SPANIEL CAVALIER  KING CHARLES
CHARLESTON,SPANIEL CAVALIER  KING CHARLES
WALKER,MIX
BOONE,NEWFOUNDLAND
SHADOW,LAB RETRIEVER MIX
MACY JO,RETRIEVER LABRADOR
MARIN,TERRIER AIREDALE
BODE,LABRADOODLE
WINNIE,HAVANESE
BETSY,SHEEPDOG ICELANDIC
SCOUT,SHEEPDOG
ROY,SHEEPDOG
BROOKE,
PANDA,
STELLA,TERRIER TIBETAN
RUBY,TERRIER TIBETAN
IZZY,RETRIEVER LABRADOR
GRETTA,SHEPHERD GERMAN
SKYE,COLLIE BORDER MIX
OSCAR,RETRIEVER GOLDEN
MIA,RETRIEVER LAB MIX
BUCKY,COCKAPOO
DAISY,WHOODLE
STELLA,CORGI SHETLAND MIX
DAISY,LABRADOODLE
BEATRICE,LABRADOODLE
SCOUT,WELSH CORGI PEMBROKE
CASEY,SPANIEL
BECKETT,RETRIEVER GOLDEN
ATLAS,BOXER MIX
STANLEY,POODLE MINI
BINGO,TERRIER MIX
MOSHI,TERRIER WELSH
BROOKLN,TERRIER PIT BULL
CLEO,COCKAPOO
CHARKIE,TERRIER SOFT WHEATEN
KOBEE,COLLIE MIX
RORY,TERRIER WELSH
BREWSTER,GOLDENDOODLE
CARLEY,COLLIE BORDER MIX
MULLIGAN,RETRIEVER LABRADOR
MAGOO,RETRIEVER LABRADOR
NOVA,MALTIPOO
INDY,BEAGLE MIX
ECHO,LABRADOODLE
DYLAN,SHEPHERD AUSTRALIAN MIX
ZIGGY,SHEPHERD AUSTRALIAN MIX
NALA,SHEPHERD GERMAN
WILBUR,LAB MIX
MAX,TERRIER YORKSHIRE
KITTU,PUGGLE
MOOKIIE,SHEPHERD AUSTRALIAN MIX
IZZIE,SHEPHERD AUSTRALIAN MIX
MARLEY,LAB RETRIEVER MIX
OLLIE,GOLDENDOODLE
TUCKER,BEAGLE MIX
CARLOS,TERRIER BOSTON
RUBY,AUSTRALIAN LABRADOODLE
BELLA,SCHNAUZER MINI
NISHA,RETRIEVER LABRADOR
TUCKER,SPANIEL MIX
PEPPER,RETRIEVER LABRADOR
CANDY,SHIH-TZU
CHASE,AUSTRALIAN LABRADOODLE
CLYDE,RETRIEVER LAB MIX
BERNIE,SHEPHERD BOXER MIX
MAISIE,TERRIER WEST HIGHLAND
PIXEL,TERRIER MIX
TUCKER,RETRIEVER MIX
GRETEL,DACHSHUND L.H. MINI
ANNIE,SATO
CALLIE,CATTLE DOG AUSTRALIAN
PENNY,RETRIEVER LABRADOR
LUNA,BOXER MIX
ANGEL,MINITUARE PINSCHER
MAGGIE,SHEPHERD GERMAN
RUBY,RETRIEVER LABRADOR
JOEY,SPANIEL SPRINGER
MARLEY,RETRIEVER GOLDEN MIX
MOXIE,SAMOYED
BODHI,RETRIEVER GOLDEN
LOLA,GOLDENDOODLE
OBI,SPANIEL CAVALIER  KING CHARLES
MILO,BERNESE MOUNTAIN
OSO,BERNESE MOUNTAIN
BUDDY,BEAGLE MIX
IOLO DDU,BRIARD
ROOKIE,MIX
OLLIE,SPANIEL CAVALIER  KING CHARLES
ZEUS,SPANIEL CAVALIER  KING CHARLES
MAXINE,TERRIER MIX
RUFUS,LABRADOR MIX
LORA,LAB RETRIEVER MIX
WELLINGTON,SPANIEL SPRINGER
PHOEBE,MIXED MUTT
NIKO,TERRIER YORKSHIRE
OLIVER,LABRADOODLE
BESSIE,SHIH-TZU
ZEUS,COCKAPOO
GUS,RETRIEVER LABRADOR
FENWAY,COCKAPOO
RANGER,DACHSHUND MIX
BAXTER,POODLE MIX
FREDERICK,SPANIEL CAVALIER  KING CHARLES
LUNA,WEIMARANER
BAILEY,RETRIEVER GOLDEN
MARGOT,GOLDENDOODLE
GINGER,GOLDENDOODLE
MACEY,RETRIEVER GOLDEN
STELLA,COTON DE TULEAR
AJAX,SHEPHERD MIX
ANNIE,HAVANESE
GEORGIA,LABRADOR MIX
TULIP,BEAGLE
LUCY,COCKAPOO
BUDDY,LABRADOODLE
EMMA,TERRIER BOSTON
BAILEY,BEAGLE
LAYLA,POODLE TOY
DAISY,COCKAPOO
CARL,HAVANESE
TECO,DACHSHUND
COOPER,SHEPHERD MIX
MAGGIE,SPANIEL BRITTANY MIX
ROSIE,RETRIEVER GOLDEN
LULA,COCKAPOO
RAFFERTY,COCKAPOO
HALEY,BICHON FRISE
TOBY,SPANIEL COCKER
CHARLIE,TERRIER WHEATEN
LOUIS,SCHNAUZER MINI
MIO,NORWEIGAN ELKHOUND
MOMO,NORWEIGAN ELKHOUND
HUNTER,RETRIEVER GOLDEN
ROOTIE,COCKAPOO
NELLIE,COCKAPOO
TUCKER,RETRIEVER GOLDEN
KAJSA,BOXER MIX
BO,POMERANIAN
LULU,RETRIEVER MIX
CHLOE,MIX
JASPER,MUSTERLANDER SMALL
TESS,MUSTERLANDER SMALL
FRANKIE,TERRIER
COOKIE,PUGGLE
LUCY,TERRIER AMSTAFF
TRIXIE,BICHON FRISE
COOPER,BULLDOG FRENCH
COOKIE,POODLE
ROBIE D,SPANIEL BRITTANY MIX
LUNA,LABRADOR BLACK MIX
MOCHA,LABRADOODLE
GRACE O'MALLEY,RETRIEVER GOLDEN
ROZZIE,LABRADOODLE
KHALEESI,SHARPEI
OLIVE,TERRIER YORKSHIRE
AUTUMN,SPANIEL MIX
MAYA,RETRIEVER LABRADOR
CHESTER,SPANIEL COCKER MIX
EVIE,COLLIE BORDER
BAXTER,SCHNAUZER MINI
WATSON,GOLDENDOODLE
CASEY,RETRIEVER GOLDEN
TASHMOO,GOLDENDOODLE
BUDDY,SHEPHERD GERMAN
RUSTY,SHEPHERD GERMAN
SOPHIE,TERRIER YORKSHIRE
MAGGIE,LABRADOR MIX
CODY,SPANIEL COCKER MIX
GINGER,SPANIEL COCKER MIX
KODA,LABRADOR
FRANKIE,TERRIER BOSTON
TUUKKA,SPANIEL CAVALIER  KING CHARLES
ANNIE,SHIH-TZU
LILY,SHEPHERD GERMAN
ELLE,HOUND MIX
LILY,LABRADOODLE
PRINCE,SPANIEL CAVALIER  KING CHARLES
DELILAH,LABRADOR POODLE MIX
JEB,TERRIER BOSTON
RAEPHY,LABRADOODLE
SCOUT,RETRIEVER GOLDEN
DAKOTA,AMERICAN ESKIMO
COPPER,BOXER
ARCHIE,RETRIEVER MIX
BRACKEN,LABRADOODLE
MUGGSY,PUG
MAXI,COTON DE TULEAR
EEVEE,BICHON FRISE
BABY,CHOW MIX
DEXTER,MIX
MADDIE,MALTESE
CHARLIE,MALTESE
KATIE,COCKAPOO
BROWNIE,SHIH-TZU POODLE MIX
EVA,MIX
MOKA,MIX
MICAH,POODLE STANDARD
JETHRO,COCKAPOO
ZARA,BOXER MIX
CALI,LABRADOR MIX
LEXIE,RETRIEVER GOLDEN
BARKLEY,RETRIEVER LABRADOR
PINKMAN,GREYHOUND
PRINCESS,MALTESE
OLIVER,PAPILLON
BAILEY,RETRIEVER GOLDEN
DOLSA,BERNESE MOUNTAIN
DAISY MAE,BOXER MIX
ANGEL,RETRIEVER LABRADOR
ARCHER,LABRADOODLE
MELANIE,CATTLE DOG AUSTRALIAN
LEO,MIX
JULES,COCKAPOO
IZZY,SCHNAUZER MINI
TOOTIE,BULLDOG ENGLISH
BARNABY,POODLE MIX
ALI BABA,SHIH-TZU
PEPPER,SCHNAUZER MINI
BUNNY,RETRIEVER LAB MIX
BRADY,GOLDENDOODLE
SARGE,SHEPHERD GERMAN
BENTLEY,BEAGLE MIX
BOWIE,LAGOTTO ROMAGNOLO
PHOEBE,RETRIEVER LAB MIX
SOPHIE,BICHON FRISE
YOKO,AKITA
PIPPA,SPANIEL COCKER MIX
ZEKE,RETRIEVER GOLDEN
MURPHY,GOLDENDOODLE
SUMMER,GOLDENDOODLE
ZADIE,POODLE STANDARD
PENNY,CAVACHON
NALA,RETRIEVER GOLDEN MIX
ROY,CORGI MIX
LUCIE,SHIH-TZU
CHLOE,RETRIEVER LABRADOR
JACK,HUSKY MIX
WILEY,CHIHUAHUA MIX
MOJAVE,CHIHUAHUA MIX
PEPPER MCBEE,LABRADOODLE
GEORGE,LABRADOODLE
NINA,MALTESE
ANNIE,GOLDENDOODLE
OLLIE,DACHSHUND
LYRA,BEAGLE MIX
BOOTS,SHEPHERD GERMAN MIX
DIESEL,RETRIEVER LABRADOR
DUKE,CHIHUAHUA
ELLA,LABRADOR MIX
LEO,SPANIEL COCKER MIX
COCO,GOLDENDOODLE
GEORGIA,MIX
ROSIE,RETRIEVER GOLDEN
JAZMINE,POODLE STANDARD
BUDDY,GOLDENDOODLE
LOLA,SCHNAUZER MINI
TESSIE,SCHNAUZER MINI
SPENCER,RETRIEVER LABRADOR
BAILEY,RETRIEVER LABRADOR
KENYA,HUSKY MIX
MAX,MIX
PRESTON,SHIH-TZU
ZEUS,SHIH-TZU MALTESE MIX
BUSTER,GOLDENDOODLE
MEMPHIS,SHEPHERD GERMAN
RUBY,GOLDENDOODLE
AVIVA,BERNESE MOUNTAIN
RYLEE,RETRIEVER LABRADOR
FYN,RETRIEVER GOLDEN
RUSTY,VIZSLA
BENJI,RETRIEVER MIX
RUBY,MIX
CHARLIE,LABRADOODLE
CHRYSTA,GOLDENDOODLE
TEDDY,SPANIEL COCKER MIX
LUCY,BEAGLE
DARWIN,BEAGLE MIX
CALVIN,BOXER
BELLA,LABRADOODLE
BELLA,LAB/HOUND MIX
SAMPSON,SETTER ENGLISH
LEXIS,LABRADOR
LOGAN,LABRADOODLE
LUCITA,DACHSHUND
WAYLON,BEAGLE
BRADY,POODLE MIX
PEPPER,TERRIER BORDER MIX
EVIE,BICHON SHIZU MIX
BRUNO,SHIH-TZU MIX
FINLEY,LABRADOODLE MIX
MAC,TERRIER MIX
MICKEY,HAVANESE
CODY,RETRIEVER LABRADOR
NICKI,TERRIER WEST HIGHLAND
CASSIE,DOUBLE DOODLE
OSCAR,DACHSHUND L.H.
JACKSON,RETRIEVER GOLDEN
CHARLIE,RETRIEVER GOLDEN
KALA,RETRIEVER GOLDEN
MAC,BULLDOG FRENCH
OLLIE,POODLE CHINESE CRESTED MIX
DUNCAN,SHEPHERD MIX
LILY,TERRIER JACK RUSSELL MIX
TRIXIE,MASTIFF MIX
PURPLE,PIT BULL
CAMILLA,PINSCHER MINI
LYLA,LABRADOR MIX
OGDEN,RETRIEVER LABRADOR
GUS,RETRIEVER GOLDEN
LUNA,SHEPHERD GERMAN MIX
PENNY,PEKAPOO
INDIE,RETRIEVER LABRADOR
OLIVER,LABRADOODLE
NOGGIN,LABRADOODLE
ROXY,SHEPHERD MIX
LOKI,GREAT PYRENEES MIX
MISHKA,RETRIEVER LABRADOR
GORBY,SHEPHERD AUSTRALIAN MIX
BELLA,LABRADOR MIX
PIXEL,RETRIEVER LABRADOR
CALYPSO,RETRIEVER LABRADOR
"MADDISON ""MADDY"" RUBIN",MALTESE
WHISPER,COLLIE BORDER
CRAIG,LABRADOR
ATTICUS,PUGGLE
TRUMAN,SHELTIE
REBEL,SETTER ENGLISH
BLAKE,TERRIER SOFT COATED
ROSIE,SHEPHERD MIX
BEA,TERRIER BOSTON
SHADOW,LAB MIX
FERRIS,BEAGLE MIX
ESME,MIX
DENNY,SCHNOODLE
DESI,HAVANESE
CHIP,TERRIER YORKSHIRE
KENZIE,LABRADOODLE
GIO,RETRIEVER LABRADOR
SIMBA,HAVANESE
ZIGGY,
PIPPIN,POODLE
BEN,POODLE TOY
HARRIET,POODLE STANDARD
PYJAMA,POODLE MIX
LEXINGTON,COTON DE TULEAR
SHADOW,SPANIEL COCKER MIX
OLIVER,COCKAPOO
MAX,MIX
COCO,HAVANESE
ROCKY,PAPILLON
BRADY,RETRIEVER LABRADOR
BAILEY,BEAGLE MIX
PIPPA,LABRADOODLE
SEAMUS,LABRADOODLE
SNOWY,LAB/GREAT PYRENEES MIX
NOODLES,PUG
BEAU,POODLE TOY
ZUZU,LABRADOODLE
WILLIE,CHIHUAHUA
MICRO,HAVANESE
LUCY,WELSH CORGI PEMBROKE
GUS,SPANIEL COCKER MIX
MISHA,POODLE STANDARD
ACE,POINTER MIX
NELLIE,HOUND MIX
GINNY,SPANIEL MIX
COCO,SCHNOODLE
CHARLEY,PUGGLE
ASHER,BOXER MIX
LUNA,RETRIEVER LABRADOR
NELLIE,CHIHUAHUA
BELLA,BICHON FRISE
AZA,TERRIER TIBETAN
CHAPLIN,LABRADOODLE
BAILEY,BEAGLE MIX
MAGGIE,COTON DE TULEAR
ENZO,VIZSLA
DAISY,LAB/SHEP MIX
MOLLY,COCKAPOO
RIVET,HUSKY SIBERIAN
TROUBLE,SHIBA INU
SCRAPPY,TERRIER MIX
AUGGIE,LABRADOODLE
PEPPER,LABRADOR MIX
NICCO,MIX
YODA,PINSCHER MINI MIX
WALTER,BICHON SHIZU MIX
MAZEL,TERRIER SOFT WHEATEN
WINNIE,PUG
SADIE,LABRADOR MIX
NUGGET,LABRADOODLE
BRADY,TERRIER YORKSHIRE
RUDY,LABRADOR MIX
KIPPER,BEAGLE MIX
LUCY,POINTER GERMAN SHORTHAIR
MAPLE,COCKAPOO
APRIL,HAVANESE
CODY,TERRIER WELSH
MILO,SHEPHERD LAB MIX
MOLLY,LABRADOODLE
DOMINO,HAVANESE
FINN,SPANIEL BRITTANY MIX
LUNA,
SOX,CATTLE DOG
BILLU,COCKAPOO
IVY MENON,RETRIEVER LABRADOR
CORY,BICHON FRISE
FIFI,SHEEPDOG
MIKA,TERRIER WHEATEN
LUCY,TERRIER JACK RUSSELL MIX
LIAM,TERRIER JACK RUSSELL MIX
CARL,MIX
BIANCO,MIX
MOLLY MAE,MIX
BEAU,RETRIEVER GOLDEN
STELLA,BULLDOG FRENCH
STELLA,COLLIE BORDER MIX
HOUSTON,BOXER
APPA,SHEEPDOG ICELANDIC
TJULLA,SHEEPDOG ICELANDIC
CHARLIE,LABRADOODLE
OREO,LABRADOODLE
KAYLEE,POINTER GERMAN SHORTHAIR
LEELA,POODLE
LUCY,TERRIER MIX
LILY,POMERANIAN
MAIA,POINTER MIX
REINA,HOUND MIX
MIKO,MIX
AUSTIN,RETRIEVER LABRADOR
CHARLIE,SHEPHERD AUSTRALIAN
SAM,BICHON FRISE MIX
HUDSON,SPANIEL BRITTANY MIX
MISSY,SHEPHERD AUSTRALIAN MIX
JACKSON,RETRIEVER GOLDEN MIX
SUME,RETRIEVER LABRADOR
BAXTER,TERRIER CAIRN
BENJI,POM/CHI
GEORGIE,RETRIEVER GOLDEN
SKYLAR,YORKIE POO
BAXTER,TERRIER BOSTON
BUBBY,CHIHUAHUA MIX
GOLDIE,RETRIEVER GOLDEN
CYAN,TERRIER TIBETAN
CJ,CATTLE DOG AUSTRALIAN
SCOUT,LABRADOR
IZZY,RETRIEVER LABRADOR
ROSCOE,TERRIER WEST HIGHLAND
BAUER,HAVANESE
BELLA,HAVANESE
HEIDI,LABRADOR MIX
MOOSE,TERRIER BOSTON
SCARLET,RETRIEVER LABRADOR
KYRA,RETRIEVER GOLDEN
MADDUX,RETRIEVER GOLDEN
MILO,LABRADOR
MUFFIN,SHIH-TZU
MAGGIE MAE,BEAGLE
ORLA,RETRIEVER MIX
YAWNY,SHEEPDOG AUSTRALIAN MINI
MOOKIE,RETRIEVER LABRADOR
PATACHON,DACHSHUND
PAPI,MIX
LILY,RETRIEVER GOLDEN
SPARKY,CORGI PEMBROKE WELSH
MAYPO,SHIBA INU
THEODORA II,SHELTIE
CLEMENTINE,SHELTIE
CODY,SHELTIE
MILO,SPANIEL CAVALIER  KING CHARLES
LOGAN,KOOIKERHONDJE
ANDY,DACHSHUND
OSCAR,SPANIEL CAVALIER  KING CHARLES
GINGER,COCKAPOO
CHERIE,TERRIER BORDER
MISO,GOLDENDOODLE
GINGER,TERRIER SOFT WHEATEN
WHISKEY,TERRIER SOFT WHEATEN
RAVEN,SPANIEL CAVALIER  KING CHARLES
NENA,LABRADOR MIX
TUCKER,SPANIEL BRITTANY MIX
JINX,MIX
FOLLY,RETRIEVER GOLDEN
LEXI,GOLDENDOODLE
CARLY,TERRIER YORKSHIRE
MAX,TERRIER YORKSHIRE
RHEA,SPANIEL BRITTANY MIX
TUCKER,RETRIEVER LABRADOR
WILLKIE,MALTESE
CHILI,BEAGLE MIX
COCO,HOUND MIX
LEO,SHEPHERD AUSTRALIAN MIX
CHARLIE,RETRIEVER LAB MIX
LUCA,RETRIEVER LAB MIX
HEIDI,BERNESE MOUNTAIN
BELLA,LABRADOR
OCEAN,LAB/HUSKY
DAISY,LABRADOR
GORGI,MALTESE MIX
BELLA,TERRIER YORKSHIRE
SADIE MAE PUMPKIN,MORKIE
ROSIE,RETRIEVER LABRADOR
MADDIE,COCKAPOO
RUSTY,POMERANIAN
ROCKY,MIX
LAITI,MIX
BALOO,PUGGLE
NEO-LATTE,BEAGLE MIX
CIDER,MIX
TUCK,RETRIEVER MIX
ROMEO,GOLDENDOODLE
NIKKI,COLLIE  ROUGH COAT
CODA,MIX
ZERMATT,SPANIEL COCKER MIX
LUCY,MIX
DARLA,BEAGLE MIX
KITA,HUSKY
RUFUS,SHEPHERD ANATOLIAN  MIX
COOPER,BEAGLE MIX
WINSTON,BULLDOG FRENCH
COCO,CHIHUAHUA MIX
PIPER,MIX
BAILEY,HUSKY MIX
NDITO,MIXED BREED/COLLIE
STORM,SHEPHERD AUSTRALIAN
ROXIE,RETRIEVER MIX
SOPHIE,RETRIEVER LABRADOR
IVY,GOLDENDOODLE
KONA,CHIHUAHUA
NERON,TERRIER RUSSIAN
MISTY LOU,HAVANESE
SUNSHINE,MALTESE
SNOW STAR,MALTESE
COOPER,TERRIER JACK RUSSELL MIX
PENELOPE (PENNY),HOUND MIX
TOBI,RETRIEVER LABRADOR
GINGER,POMERANIAN
FLINA,TERRIER BOSTON
PARKER,LABRADOR MIX
HAZEL,MIX
RICKY,SHIH-TZU
ELLA,SHIH-TZU
SANDY,SHEPHERD AUSTRAILIAN
CHIP,TERRIER YORKSHIRE MIX
SKIPPER,DACHSHUND JACK RUSSELL MIX
LIESL,SCHNAUZER MINI
MAX,RETRIEVER GOLDEN
LOGAN,SHEPHERD ROTTWEILER MIX
GASTON,BULLDOG FRENCH
MARGOTTE,BULLDOG FRENCH
PRINCE EMMETT,TERRIER BOSTON
MAX,TERRIER WEST HIGHLAND
ANNEX,LABRADOODLE
ROVER,ROTTWEILER
MILO,SHIH-TZU MIX
LILLY,CAVACHON
WOODY,RETRIEVER GOLDEN
TONY,
BRUTUS,SCHNAUZER MINI
CHARLIE,RETRIEVER GOLDEN
SASSY,SPANIEL CAVALIER  KING CHARLES
CODY,RETRIEVER LABRADOR
GINA,POODLE STANDARD
JUPP,DACHSHUND WIREHAIR
MILLY GETMANOVA,SPANIEL COCKER MIX
SUNNY,SPANIEL CAVALIER  KING CHARLES
MUMY,CHIHUAHUA
CHIHZ,CHIHUAHUA
KAYLEE,RETRIEVER LABRADOR
ELLSBURY,PORTUGUESE WATER DOG
PENNY,TERRIER BOSTON
SAMMI,TERRIER BOSTON
ESCA,SHEPHERD AUSTRALIAN MIX
KODA,GOLDENDOODLE
PEPPER,POINTER MIX
CASEY,COLLIE BORDER MIX
ROCKET,HOUND MIX
CHARNER,RETRIEVER LABRADOR
HAZEL,PORTUGUESE WATER DOG
BUDDY,POODLE MINI
ANDI,GOLDENDOODLE
WALLY,TERRIER MIX
EDEN,ARUBIAN CUNUCU
SAM,BOXER
JERRY,RETRIEVER GOLDEN
BEAR,COTON DE TULEAR MIX
BRADY,GOLDENDOODLE
TUCKER,LABRADOODLE
JULIE,MIX
COCO,MIX
CHARLIE,PUGGLE
LUCAS,TERRIER TIBETAN
PUMPKIN,BEAGLE
CLANCY,SPANIEL CAVALIER KING CHARLES
OLLIE CYRIL WEILER,SPANIEL CAVALIER  KING CHARLES
ZION,RHODESIAN RIDGEBACK
SHMULI,COCKAPOO
FIONA,TERRIER AIREDALE
GRACIE BELL,TERRIER YORKSHIRE MIX
GINNY RIGGINS,POODLE MIX
LOVEY,SPANIEL CAVALIER  KING CHARLES
FRODO,TERRIER FOX
MIA,TERRIER MIX
SAMSON,RETRIEVER GOLDEN
MABEL,SALUKI MIX
MILLIE,BULLDOG FRENCH
GEORGIA,LABRADOODLE
ATTICUS,BEAGLE MIX
DIMA,MALTESE
REMY,RETRIEVER GOLDEN
BELLA,SHEPHERD MIX
MOLLY,SHELTIE
GAUCHO,TERRIER JACK RUSSELL
TYLER,GOLDENDOODLE
NAVY,RETRIEVER LABRADOR
MILO,COCKAPOO
COCOA,HOUND MIX
LADY DIANA VON,ROUGH COLLIE
FINLEY,LABRADOR
RUBY,LAB MIX
KIRBY,POODLE MIX
NOVA,HAVANESE
DENVER,RETRIEVER LABRADOR
RUBY,CAVACHON
SCOOTER,SPANIEL COCKER MIX
ELI,SHEPHERD GERMAN
LUCY,SHELTIE MIX
FONZIE,SHEEPDOG SHETLAND
PIPPIN,SHEPHERD GERMAN
LEXI,MIX
CALLIE,RETRIEVER GOLDEN
REMY,POODLE STANDARD
TOBY,POODLE STANDARD
SANDY,GOLDENDOODLE
EMMA,BICHAPOO
BEAR,POMERANIAN MIX
LAYLA,SHIH-TZU
JAY,MALTIPOO
DAISY,MALTIPOO
VELVET,HAVANESE
MILLIE,SHIH-TZU MIX
MUFASA,SHEPHERD AUSTRALIAN MIX
NOODLE,SCHNAUZER MINI
CHARLIE,POODLE MINI
SHERLOCK,SHIBA INU
CHASE,SHIH-TZU
OREO,SHIH-TZU
KAMDEN,SCHNOODLE
REMI,WATERDOG SPANISH
LU LU,COLLIE BORDER MIX
ACE,GOLDENDOODLE
PATRICK,RETRIEVER GOLDEN
TEDDY,RETRIEVER LABRADOR
LUCKY,MALTESE
LEXI,COLLIE
KENNY,COCKAPOO
LUKA,HAVANESE
OHANA,MIX
HANS,SHEPHERD GERMAN
SOPHIE,BEAGLE
SCOOTER,HAVANESE
RUGBY,HAVANESE
LUNA,RETRIEVER LABRADOR
EDISON,COCKAPOO
OLIVER,TERRIER
TARA,HOUND MIX
EMY,HAVANESE
POPPY,HAVANESE
WILLOW,AUSSIE DOODLE
LUCY,TERRIER MIX
COCO,BICHON FRISE
DOUDOU,POMERANIAN
HAPPY,MALTESE
GUS,DACHSHUND L.H. MINI
LUCCA,RETRIEVER LAB MIX
CLEO,LAB
SAMANTHA,RETRIEVER GOLDEN
RILEY,BICHON FRISE
COLBY,MALTESE
NEO,PORTUGUESE WATER DOG
PENNY,SHEPHERD GERMAN
JAKE,TERRIER WELSH
HOLLY,LABRADOR
HUGO,POODLE MINI
GINGER,LHASA APSO
CARLO,RETRIEVER GOLDEN
BERLIN,DACHSHUND  MINI
XIAO XIAO,POODLE TOY
SHARIK,LABRADOR
COOKIE DOUGH,SHIH-TZU
MAXWELL,SCHNAUZER MINI
MILLIE,COCKAPOO
KITTY,SHIBA INU
ARTIE,SHEPHERD GERMAN
NORA,MIX
ATLAS,POODLE STANDARD
BELLA,RETRIEVER LABRADOR
MAGGIE,MIX
CRISPIE,CAVACHON
ARCHIE,HOUND MIX
WILLOW,LAB MIX
NORA,PIT BULL MIX
ROCKY,SCHNOODLE
BAXTER,LABRADOODLE MIX
HUGO,LABRADOODLE
HUSKY,COCKAPOO
SUER,SHIBA INU
BRYCE,RHODESIAN RIDGEBACK
ANAJO,LAB MIX
BRADY,LAB
OPAL,COCKAPOO
BROWNIE,GOLDENDOODLE
BERKELEY,GREATER SWISS MOUNTAIN
PEPPER,TERRIER TIBETAN
GOLDIE,RETRIEVER GOLDEN
TEDDY,MALTESE
EUGENE,GRIFFON BRUSSELS
LUCKY,COLLIE BORDER MIX
SAMMY,RETRIEVER GOLDEN
HAZEL,YORKIE
IZZY,HUSKY MIX
FRANKLIN,TERRIER MIX
BIAJI,RETRIEVER GOLDEN
PENELOPE,SHEPHERD GERMAN
BEATRICE,WHOODLE
TUBBY,ROTTWEILER
LAMAY,BULLDOG ENGLISH
TIMBER,BEAGLE MIX
COOPER,MIX
FIONA,TERRIER WHEATON MIX
TEDDY,MALTESE MIX
ROCCO,JAPANESE AKITA
CRYSTAL,LAB
NIKKA,POINTER GERMAN SHORTHAIR
MOLLY,RETRIEVER GOLDEN
MARLEY,MIX
AGNES,BULLDOG FRENCH
SADIE,TERRIER TIBETAN
AMME,PUG
OLLIE,SHIH-TZU
ALICE,TERRIER AUSTRALIAN
PHYLLIS VIVIAN,BASSET HOUND
COOPER,RETRIEVER LABRADOR
TAFFIE,RETRIEVER GOLDEN
TOBY,LABRADOODLE AUSTRALIAN MINI
HUN-HUN,MIX
MIDO,POMERANIAN
GUS,RETRIEVER GOLDEN
SADIE,COTON
WINSTON,RETRIEVER GOLDEN
NATALIE,COLLIE BORDER
DAHLIA,GOLDENDOODLE
OSCAR HOKIS,RETRIEVER GOLDEN
STAR,LABRADOODLE AUSTRALIAN
LATTE,LAB/HOUND MIX
DAKOTA,RETRIEVER GOLDEN
ZITA,LABRADOR
KIRA,LABRADOR
UMI,SCHNAUZER MINI
HARMONY,CAVACHON
COPLEY,RETRIEVER GOLDEN
BALOO,RETRIEVER LABRADOR
KUZI,CHINOOK
PAN PAN,SAMOYED
SHADY,RETRIEVER LABRADOR
ANNIE,MIXED
BOSTON,SHEPHERD GERMAN
BONO,RETRIEVER LABRADOR
LOUIE,RETRIEVER LABRADOR
CLARENCE,RETRIEVER LABRADOR
OLIVE,RETRIEVER LABRADOR
TUCKER,COTON DE TULEAR
LUNA,COTON DE TULEAR
CALHOUN,RETRIEVER GOLDEN
HOLLY,SPANIEL COCKER MIX
MARLEY,CAVACHON
RUDY,VIZSLA
SPARKLE,MIX
TOMMY,CHIHUAHUA LONG COAT
DARCY,MIX
BAMBI,GOLDENDOODLE
HAZY ACUNA,SPANIEL CAVALIER KING CHARLES
MAPLE,POODLE TOY
KYRA,POMERANIAN
VALENTINE,PIT BULL
TROOPER COLBY,RETRIEVER LABRADOR
CALVIN,PORTUGUESE WATER DOG
DIXIE,GOLDENDOODLE
