Dog_Name,Breed
MOOSE,MALTIPOO
FIRENZE,MIX
VALENTINO,ITALIAN SPINONE
GOLDIE,RETRIEVER GOLDEN
SHIRLEY,RETRIEVER GOLDEN
SUNNY,POODLE STANDARD
TESS,GOLDENDOODLE
CHLOE,MALTIPOO
MAGGIE,LAB BLACK MIX
COMET,POODLE TOY
SPIKE,CHIHUAHUA
COCOA,CHIHUAHUA
BODHI,POODLE MINI
LAYLA,LABRADOR MIX
BOO,TERRIER YORKSHIRE
ISABELLA,TERRIER WEST HIGHLAND
BACI,LABRADOODLE
MILO,PUG
MAX,PUG
AXL,PORTUGUESE WATER DOG
BARNABY,HAVANESE
BEAR,LABRADOODLE
MELVIN,SHORKIE
MOOKIE,WESTIE
ALLIE,SHEEPDOG SHETLAND
KENNY,SPANIEL CAVALIER  KING CHARLES
JUNO,LABRADOODLE MINI
OBIWAN,WEIMARANER
MAISY,GOLDENDOODLE
MAPLE SUGAR,GOLDENDOODLE
OLIVER,TERRIER CAIRN
JORDAN,
LEXI,TERRIER YORKSHIRE
LATTE,GOLDENDOODLE
PHOEBE,PUG
MILO,BOXER
COOKIE,BOXER MIX
MANI,WEIMARANER
CHARLIE,SHEPHERD HUSKY
MILO,SHEPHERD AUSTRALIAN MIX
BOSCO,LABRADOODLE
HOBBES,DACHSHUND
LENNY,GOLDENDOODLE
LULU,BERNADOODLE
TOSHI,RHODESIAN RIDGEBACK
MISSY,RETRIEVER LAB MIX
COCO,LABRADOODLE
ROSCOE,POMERANIAN
BUDDY,CAVAPOO
WOLFGANG,RETRIEVER GOLDEN
TOBY,BICHON FRISE
ZOE,MALTIPOO
RUSSELL,LAB MIX
JOEY,COCKAPOO
NIMBUS,POMERANIAN MIX
TOREE,SHIH-TZU
COOKIE,POODLE
NOEL,WHIPPET
LIBERTY,PEKINGESE MIX
CHEWEE,PEKINGESE
CINDER,HAVANESE
DAKOTA,HUSKY MIX
LOLA,HAVANESE
SARINA,DACHSHUND SPANIEL MIX
NINJA,RETRIEVER LAB MIX
KAYCEE,RETRIEVER GOLDEN
LILA,DACHSHUND WIREHAIR
PENNY,MIX
CHARLIE,MIX
ROXIE,GOLDENDOODLE
CHAPPY,LABRADOR MIX
MURPHY,RETRIEVER LAB MIX
TEDDY,GOLDENDOODLE
QUINCY,GOLDENDOODLE
TIKI,HAVANESE
GRACIE,BERNEDOODLE
BAXTER,COCKAPOO
NIKO,DACHSHUND MIX
DOLLY,HOUND MIX
BISOU,MALTIPOO
LILLY,MALTESE
BLAKE,BEAGLE MIX
DAISY,BICHON FRISE MIX
GINGER,RETRIEVER GOLDEN
CHEWIE,MIX
NOODLES,POODLE MIX
SHAY,SHEPHERD DUTCH
DAISY,BASSET HOUND MIX
GUS,LAB MIX
BOOMER,POODLE
RILEY,RETRIEVER CHESAPEAK
JACQUELINE,POODLE MINI
LUKE,MALTESE MIX
LEO,WHIPPET
PIPER,VIZSLA
SNOWBALL,COCKAPOO
RUBY,DACHSHUND SMOOTH
MARLO,RETRIEVER MIX
BRUNO,TERRIER SILKY
SAVANNAH,LABRADOR MIX
DAISY,MIX
MICKEY,RETRIEVER MIX
LUNA,GREAT DANE
KASEY,RETRIEVER LABRADOR
OTTO,HAVANESE
SMIDGEON,RETRIEVER LABRADOR
BO,TERRIER TIBETAN
TAYTO,SPANIEL MIX
MAX,SHIH-TZU POODLE MIX
STELLA,RETRIEVER LABRADOR
CHEWEY,SHIH-TZU MIX
LOUI,VIZSLA
HAZEL,SHEPHERD MIX
COCO,HAVANESE
LILY,HAVANESE
ROOKIE,COLLIE BORDER
BUDDY,MALTESE
PIBROCH,SETTER GORDON
VELA,CHIHUAHUA MIX
AGNES,PIT BULL MIX
KING BOO,POODLE TOY
KIRBY,POODLE TOY
COCO 2,LABRADOODLE
OREO,COCKAPOO
TIA,SPANIEL CAVALIER  KING CHARLES
PUMPKIN,MALTESE
ROXY,CHIHUAHUA
CRICKET,POODLE MINI
ROSIE,TERRIER JACK RUSSELL
PENNY,TERRIER JACK RUSSELL
POPPY,HOUND MIX
MURPHY,GOLDENDOODLE
STRYKER,COCKAPOO
NORA,TERRIER WHEATEN
SCOUT,LABRADOODLE
ABBY,RETRIEVER GOLDEN
PIERRE,PUG
CHARLEY,POODLE MIX
MARBLE,MORKIE
JUNO,RETRIEVER GOLDEN
PIPER,MIX
MOLLY,MIX
OSCAR,HOUND MIX
SVEN,SHEPHERD GERMAN
SAWYER,COCKAPOO
SHAGGY,POODLE MIX
CORTINA DOLCE,RETRIEVER GOLDEN
SYDNEY,BLUE HEELER MIX
