Dog_Name,Breed
LOUIS,PEKAPOO
NINA,HAVANESE MIX
HARRY,RETRIEVER GOLDEN
OMAR,LABRADOODLE
LEXI,NORWEGIAN ELKHOUND
BUFER,RHODESIAN RIDGEBACK
CHEE-CHEE,RHODESIAN RIDGEBACK
SUMMER,RETRIEVER GOLDEN
PIPER,POODLE MIX
MILEY,TERRIER JACK RUSSELL
JAX,MIX
PENNY,HOUND MIX
COCOA,LABRADOODLE
PENNY,LABRADOODLE
CHLOE,RETRIEVER LABRADOR
PHOENIX,RETRIEVER GOLDEN
BRADY,TERRIER WHEATEN
BABY,SPANIEL CAVALIER  KING CHARLES
CHARLIE,RETRIEVER GOLDEN
YASMIN,SHEEPDOG SHETLAND
ROCKWELL,RETRIEVER LABRADOR
VELVET,DACHSHUND BEAGLE MIX
ROCKY,DACHSHUND BORDER COLLIE MIX
KING,BOXER
MUSHU,MIX
KALI,COCKAPOO
SPUNKY,SHIH-TZU
GRACE,LABRADOODLE
BAILEY,LABRADOODLE
SCARLETT,TERRIER MIX
TANGO,LAB RETRIEVER MIX
OSCAR,MIX
MICKEY,HAVANESE
MIA,DACHSHUND
MILO,BICHON FRISE
BENTLY,TERRIER MIX
CORKY,MALTIPOO
STELLA,RETRIEVER GOLDEN
TOFU,TERRIER JACK RUSSELL MIX
SUNSHINE,SETTER ENGLISH LAB
MASON,SPANIEL BOYKIN MIX
RUBY,RETRIEVER LABRADOR
ARCHI,COCKAPOO
ODIE,GOLDENDOODLE
MOLLY,COLLIE BORDER MIX
STORMY,LABRADOR MIX
CHOPPER,MALTIPOO MIX
CHANCE,MIX
WALDO,AUSTRALIAN LABRADOODLE
OSCAR,HOUND SHEP MIX
IRIS,RETRIEVER GOLDEN MIX
LIBBY,RETRIEVER LABRADOR
SPUTNIK,SHEPHERD AUSTRAILIAN
BRUNO,PUG
COLLETTE,POODLE MINI
JAX,SHELTIE MIX
TINA,CHIHUAHUA MIX
HERSHEY,COCKAPOO
LEO,TERRIER BORDER
CHEETO,LABRADOODLE
SAMMI,GOLDENDOODLE
DAISY,RETRIEVER MIX
MAC,RETRIEVER DUCK TOLLING
RUSTY,MIX
ROMAN,POMERANIAN
DYLAN,LABRADOR
BOOMER,TERRIER JACK RUSSELL
GIRLFRIEND,CORGI MIX
JOEY,GOLDENDOODLE
FINLEY,CAVACHON
BEAR,MIX
PEANUT,PUGGLE
GUNTHER,SHEPHERD MIX
TINKER,COLLIE BORDER
ELLIE,BEAGLE MIX
SANA BAJAJ,LABRADOODLE
ANNIE,POODLE MINI MIX
HONEY,RETRIEVER GOLDEN
YOGI,CAVACHON
SAHARA,COCKAPOO
CALLIE,COCKAPOO
AQUINNAH,POODLE STANDARD
HUDSON,SPANIEL ENGLISH SPRINGER
PANCHO,MALTIPOO
MADDIE,RETRIEVER GOLDEN
BAILEY,COLLIE BORDER MIX
SCARLET,SHEPHERD GERMAN
KODA,SHEPHERD GERMAN
COCO,POODLE MINI
KALA,TERRIER MIX
LULU,LABRADOR MIX
ALFIE,RETRIEVER GOLDEN
TESS,RETRIEVER
DOBBY,BEAGLE BASSET
WINNIE,BULLDOG
HUDSON,SPANIEL
GRACE,GREYHOUND
MARLO,MIX
WILSON,RETRIEVER GOLDEN
SOPHIE,WELSH CORGI PEMBROKE
RILEY,WELSH CORGI PEMBROKE
MARLEY,RETRIEVER LABRADOR
CHARLIE,RETRIEVER LABRADOR
MIKEY,CHIHUAHUA MIX
BEANS,BICHON FRISE
COOPER,GOLDENDOODLE
CHAI,SPANIEL COCKER MIX
THEO,MIX
COOPER,RETRIEVER MIX
BRINLEY,TERRIER NORWICH
PIPPIN,TERRIER NORWICH
GINGER,RETRIEVER GOLDEN
THEIA,MIX
LULAH,MIX
SYDNEY,MALTESE
RICO,COLLIE MIX
REILLY,MALTESE
FINNEGAN,RETRIEVER GOLDEN
FRODO,POODLE MIX
NOBLE,HOUND MIX
BELLA LINA,EURASIER
LUCY,LABRADOODLE AUSTRALIAN
TOBY,GOLDENDOODLE
TIGGER,DACHSHUND MIX
MOLLY,SPANIEL ENGLISH SPRINGER
RAY C,BOXER
DASHIELL,TERRIER RAT MIX
ALOHA,RETRIEVER GOLDEN
LUCKY,PORTUGUESE WATER DOG
MASON,HUSKY SIBERIAN
ROCKY,RETRIEVER GOLDEN
LOLA,RETRIEVER GOLDEN
CHESTER,TERRIER WEST HIGHLAND MIX
SUKI,PEKINGESE MIX
C.J.,MIX
HOBBES,GOLDENDOODLE
TEDDY,GOLDENDOODLE
KEIRA,SPANIEL ENGLISH COCKER
KINEO,LABRADOR MIX
JOSEY,BEAGLE MIX
HUCK,RETRIEVER LABRADOR
HAZEL,LEONBERGER
MISTY,RETRIEVER LABRADOR
LEO,SHIH-TZU
ELSA,MIX
JACK,COLLIE MIX
RIGGINS,MIX
LUCKY,GOLDENDOODLE
TOKI,HUSKY SIBERIAN
JACK,SCHNAUZER MINI
NAPA,CHOW CHOW
CLARICE,GREYHOUND
BUDDY,BOXER MIX
WINNIE,COCKAPOO
LAIKA,GOLDENDOODLE
CHLOE,MALTESE SHITZU MIX
TORI,COLLIE BORDER MIX
TRUDY,COONHOUND
GUS,GOLDENDOODLE
LUCY,SHEPHERD GERMAN MIX
MIKAYA,BEAGLE MIX
FREYJA,RETRIEVER LABRADOR
COCOA,LABRADOR
